Demand,Solar
0.85181,0.76462
0.84862,0.90794
0.82051,0.93007
0.80651,0.93769
0.78227,0.92264
0.77435,0.92112
0.75675,0.92079
0.7452,0.94514
0.74403,0.93738
0.73779,0.92571
0.73223,0.90412
0.71976,0.90739
0.73278,0.9326
0.74838,0.94369
0.74992,0.92094
0.76282,0.93854
0.77927,0.87888
0.79353,0.85665
0.82686,0.85451
0.85518,0.87532
0.89798,0.82354
0.92966,0.58048
0.96009,0.30598
0.97809,0.10112
0.98652,0.012517
0.99458,0.0092377
0.99131,0.0094119
0.97918,0.0060057
0.95364,0.0059126
0.91674,0.0020694
0.88356,0.0020494
0.857,-0.0023074
0.83012,0
0.78182,-0.0019544
0.76476,0.001687
0.74941,0.0015406
0.7381,-0.0016068
0.72683,-0.0020214
0.72046,-0.0020676
0.71483,-0.002074
0.7115,-0.0021006
0.71748,-0.0021727
0.72643,-0.0022412
0.74613,-0.0022464
0.76404,-0.0022138
0.78363,0.020007
0.7949,0.16638
0.80939,0.41054
0.80131,0.64849
0.79746,0.76019
0.77951,0.79268
0.76171,0.89031
0.74688,0.91804
0.73712,0.94529
0.72905,0.95601
0.72576,0.96298
0.72476,0.98272
0.72483,0.98046
0.73405,0.97205
0.74848,0.9907
0.76544,0.99759
0.78129,0.99899
0.79751,0.99731
0.81788,0.9802
0.84447,0.96442
0.87263,0.9502
0.90325,0.91518
0.93107,0.85781
0.96313,0.73648
0.98259,0.53035
0.99149,0.27171
0.99599,0.085641
0.99824,0.018254
0.99935,0.006728
0.98752,0.0070422
0.97356,0.0031406
0.9447,0.0032219
0.91439,0.0060493
0.88295,0.0061731
0.85102,0.00050507
0.81849,0
0.78123,0.00051237
0.76368,-0.0029719
0.74351,-0.0029738
0.72808,-0.0027843
0.71398,-0.0030146
0.70179,-0.0030005
0.69246,-0.0030748
0.68429,-0.0030685
0.68304,-0.0030746
0.68244,-0.0032242
0.68825,-0.0032921
0.69167,-0.0032002
0.6892,0.023502
0.68407,0.17063
0.68266,0.42204
0.68071,0.67449
0.67652,0.78744
0.66318,0.85012
0.65717,0.88792
0.64851,0.90769
0.64893,0.91726
0.64718,0.95951
0.64745,0.95526
0.65225,0.97062
0.6652,0.97166
0.68027,0.97861
0.70031,0.98108
0.72222,0.98788
0.74497,0.98941
0.7744,0.99185
0.79936,0.9863
0.8342,0.97296
0.86411,0.95034
0.90192,0.90036
0.93476,0.84687
0.96813,0.72635
0.98852,0.51913
0.99883,0.27575
0.99862,0.097014
0.98758,0.01671
0.98357,0.0060186
0.96659,0.0061518
0.95416,0.0060991
0.9261,0.0062736
0.89352,0.0052276
0.85494,0.0029024
0.82227,0.0031572
0.79019,2.84E-19
0.8407,0.0013695
0.81676,0.00055678
0.79177,-0.0034972
0.7709,-0.0035039
0.75527,-0.003505
0.73995,-0.0035542
0.72867,-0.0033574
0.71943,-0.0036169
0.71333,-0.0035442
0.70844,-0.0037083
0.70997,-0.003626
0.70855,-0.0035925
0.69613,0.025094
0.68416,0.18199
0.68133,0.37341
0.68029,0.61775
0.67308,0.77343
0.6664,0.83812
0.65673,0.91149
0.64953,0.90076
0.6529,0.94633
0.65491,0.88128
0.67447,0.93579
0.68412,0.9642
0.70176,0.96989
0.71912,0.97443
0.7338,0.98581
0.74948,0.95366
0.76184,0.86803
0.7723,0.89832
0.78918,0.94515
0.81401,0.92328
0.84667,0.81825
0.8785,0.78663
0.91697,0.7479
0.94937,0.6649
0.95532,0.45515
0.98591,0.2524
0.99174,0.084913
0.98065,0.0075153
1.0005,0.0034672
0.97121,0.00087462
0.95543,-0.0028954
0.92345,-0.0026835
0.89067,0.0039441
0.85378,0.0039427
0.82136,-0.0018517
0.78991,0
